13,222,PKB00085,.(((..[[[[[[)))..]]]]]].
14,40,PKB00294,..(((.[[[[[[)))...]]]]]].
15,72,PKB00125,.(((..[[[[[[)))...]]]]]].
16,131,PKB00103,.(((.[[[[)))........]]]].
17,247,PKB00288,.((((..[[[)))).....]]]...
18,260,PKB00299,.(((.[[[[[[)))..]]]]]]...
19,263,PKB00159,.(((.[[[[[.)))....].]]]].
20,28,PKB00082,..(((...[[[[)))......]]]].
21,42,PKB00154,.(((((.[[[[[)))))..]]]]]..
22,50,PKB00121,.(((..[[[[[)))......]]]]].
23,63,PKB00101,.((((.[[[[[[))))...]]]]]].
24,114,PKB00104,.(((.[[[[[[.)))....]]]]]].
25,133,PKB00152,.(((.[[[[[[[)))...]]]]]]].
26,163,PKB00251,.(((..[[[[[.))).....]]]]].
27,165,PKB00296,..(((.[[[.[[)))...]].]]]..
28,183,PKB00123,.((((..[[[[[[))))..]]]]]].
29,191,PKB00081,(((....[[[[[)))......]]]]]
30,192,PKB00157,.(((...[[[[[[)))...]]]]]].
31,203,PKB00287,.((((..[[[[)))).....]]]]..
32,54,PKB00183,.(((.[[[[[[[)))....]]]]]]].
33,57,PKB00092,.(((((.[[[[[)))))....]]]]].
34,75,PKB00187,.((((...[[[[))))......]]]].
35,121,PKB00285,..((((..[[[[)))).....]]]]..
36,231,PKB00126,..(((..[[[[[[)))....]]]]]].
37,3,PKB00189,.((((.[[[[[[[))))...]]]]]]].
38,88,PKB00074,((((.[[[[[[[)))).....]]]]]]]
39,155,PKB00282,.((((..[[[[)))).....]]]]....
40,225,PKB00194,..(((.[[[[[[[)))....]]]]]]].
41,243,PKB00158,.((((.....[[[[[))))...]]]]].
42,265,PKB00289,..((((..[[[[)))).....]]]]...
43,18,PKB00278,.((((((...[[[..))))))....]]].
44,65,PKB00197,..((((.[[[[[..)))).....]]]]].
45,93,PKB00124,.(((.[[[[[[[)))......]]]]]]].
46,98,PKB00186,.(((((.[[[[[..)))))....]]]]].
47,142,PKB00204,.((((...[[[[[))))......]]]]].
48,188,PKB00201,..(((.[[[[[[[))).....]]]]]]].
49,240,PKB00283,.((((..[[[[)))).....]]]].....
50,241,PKB00298,.(((....[[[[[)))..]]]]]......
51,45,PKB00055,((((.....[[[[[))))......].]]]]
52,46,PKB00284,..((((..[[[[)))).....]]]].....
53,148,PKB00067,(((((..[[[.[[))))).......]]]]]
54,174,PKB00286,..((((...[[[)))).....]]]......
