,aRNAque_time,aRNAque_ham,rnainverse_time,rnainverse_ham,Length
0,10.292267084121704,0.0,0.9940000000000001,0.0,12
1,10.101141929626465,0.0,1.089,0.0,16
2,11.542982816696167,0.0,1.515,0.0,17
3,10.345630884170532,0.0,2.608,0.0,26
4,16.835717916488647,0.0,3.2739999999999996,0.0,30
5,10.40243911743164,0.0,3.122,0.0,31
6,807.8402969837189,0.0,4.087,2.0,34
7,17.530272006988525,0.0,4.066,0.0,35
8,39.590270042419434,0.0,5.223,2.0,36
9,10.797346115112305,0.0,3.424,0.0,36
10,11.030987024307251,0.0,4.75,0.0,36
11,142.18027186393738,0.0,5.3020000000000005,6.0,36
12,10.960433006286621,0.0,4.022,0.0,38
13,14.84862995147705,0.0,5.486000000000001,0.0,40
14,16.64330792427063,0.0,4.171,0.0,42
15,17.378068208694458,0.0,8.762,2.0,45
16,11.84060001373291,0.0,8.243,0.0,45
17,25.860491037368774,0.0,9.753,0.0,50
18,143.00198698043823,0.0,11.363,8.0,53
19,19.1869900226593,0.0,12.083,0.0,57
20,18.3954918384552,0.0,21.423000000000002,0.0,62
21,828.1100850105286,0.0,17.184,2.0,61
22,15.979755878448486,0.0,17.447,0.0,63
23,11.665292978286743,0.0,16.543,0.0,63
24,816.481673002243,0.0,23.154,2.0,67
25,11.807318925857544,0.0,20.151,0.0,67
26,19.371742963790894,0.0,17.805999999999997,0.0,68
27,14.305724143981934,0.0,22.121,0.0,67
28,29.165088891983032,0.0,27.476,0.0,73
29,20.383126974105835,0.0,33.72,0.0,75
30,19.86435890197754,0.0,37.43,0.0,80
31,13.129420042037964,0.0,35.691,0.0,82
32,24.974414110183716,0.0,66.10600000000001,0.0,85
33,542.5064117908478,0.0,74.834,8.0,88
34,14.079614162445068,0.0,56.61600000000001,0.0,92
35,19.525233030319214,0.0,74.344,0.0,96
36,981.2666280269623,2.0000000000030003,85.905,6.0,97
37,891.0959520339966,0.0,53.528999999999996,6.0,97
38,18.619098901748657,0.0,64.242,0.0,97
39,90.91766285896301,0.0,78.063,4.0,98
40,901.893630027771,0.0,77.949,0.0,100
41,862.654088973999,0.0,108.205,0.0,101
42,155.23850512504578,0.0,97.536,0.0,101
43,20.13295602798462,0.0,83.807,0.0,101
44,26.129697799682617,0.0,88.81,0.0,102
45,19.05304503440857,0.0,84.791,0.0,102
46,60.532358169555664,0.0,95.649,0.0,102
47,22.13408088684082,0.0,94.446,0.0,103
48,33.68073391914368,0.0,123.105,0.0,104
49,17.028976917266846,0.0,100.166,0.0,104
50,31.75383710861206,0.0,101.323,0.0,104
51,24.83035898208618,0.0,103.486,0.0,105
52,93.78056597709656,0.0,90.779,0.0,105
53,836.0499069690704,0.0,111.216,2.0,105
54,941.911269903183,0.0,111.12799999999999,2.0,105
55,18.972938060760498,0.0,100.072,0.0,105
56,71.3657488822937,0.0,89.09,0.0,105
57,28.324187994003296,0.0,100.873,0.0,105
58,23.508097887039185,0.0,78.66499999999998,0.0,105
59,863.5914199352264,4.0,141.911,9.0,109
60,29.857508897781372,0.0,117.00299999999999,0.0,111
61,76.25948095321655,0.0,203.737,0.0,116
62,59.56668996810913,0.0,150.2,0.0,116
63,18.561157941818237,0.0,107.944,0.0,116
64,160.63294911384583,0.0,207.81099999999998,0.0,119
65,36.18540692329407,0.0,242.842,0.0,122
66,28.35086488723755,0.0,233.79,0.0,123
67,22.26838493347168,0.0,394.717,0.0,151
68,33.42270016670227,0.0,457.376,0.0,174
69,1199.4962928295135,0.0,881.202,0.0,184
70,134.98326206207275,0.0,737.1110000000001,0.0,192
71,1038.4347801208496,0.0,1755.4479999999999,0.0,200
72,1183.1863272190094,0.0,1143.065,0.0,202
73,1498.8621098995209,2.0000000000030003,1653.747,2.0,212
74,92.52986097335815,0.0,944.346,0.0,213
75,37.297444105148315,0.0,1162.452,0.0,214
76,2072.6373109817505,0.0,6184.099,0.0,282
77,54.758135080337524,0.0,3606.116,0.0,284
78,2406.4780490398407,17.9999999999886,10930.976999999999,8.0,284
79,397.98315382003784,0.0,4899.988,0.0,316
80,3184.8388800621033,0.0,9387.515,0.0,337
81,2928.1685371398926,0.0,9601.681999999999,0.0,355
82,2777.7343180179596,20.000000000021,10531.696000000002,24.0,358
83,3630.0386679172516,9.999999999998899,17613.898999999998,20.0,364
84,3724.4289350509644,0.0,14944.415,0.0,370
85,103.40020990371704,0.0,8242.196,0.0,378
86,222.06149291992188,0.0,8012.678000000001,0.0,379
87,3880.72354388237,4.0,19499.435,4.0,380
88,2320.794864177704,9.999999999998899,13208.448999999999,45.0,382
89,158.74051690101624,0.0,8483.34,0.0,387
90,3820.5035099983215,0.0,15832.551000000001,6.0,389
91,3344.1030130386353,0.0,17672.688000000002,10.0,389
92,3227.4670071601868,6.000000000006999,27763.474,4.0,392
93,3739.7582960128784,0.0,31504.215,0.0,393
94,3796.7545850276947,2.0000000000030003,11193.123,2.0,397
95,157.00672602653503,0.0,7939.666,0.0,400
96,975.7633941173553,0.0,16214.316,0.0,400
97,6.098567962646484,0.0,8693.673,0.0,400
98,3675.4323019981384,2.0000000000030003,17870.206000000002,4.0,400
99,4075.45631814003,9.999999999998899,27338.29,28.0,400
