0,0,1
1,8,((((...)))).
2,1,(((((......)))))
3,23,((....)).((....))
4,26,..((((((((.....)).))))))..
5,15,(((((.....))..((.........)))))
6,30,.(((((((((((...)))))....)))))).
7,88,....((((((((.(....)).).).)))))....
8,41,((....)).((....)).((....)).((....))
9,66,.((.((.((..((.(...).)).))..))....)).
10,11,((((((.((((((((....))))).)).).))))))
11,3,((((((.((((....))))))).)))..........
12,57,((.(..(.(....).(....).)..).(....).)) 
13,40,..((((((((.....))))((((.....)))))))).. 
14,65,.(((((........)((((....))))..)))).......
15,20,(((((((.(.(.(.(((((((....)))))))))))))))))
16,33,.......(.(.(.(.(.((.((.(....).)).)).).).).).)
17,10,..........((((....))))((((....))))((((...))))
18,47,((((......(((((...))).((....)).........)).....))))
19,62,.((.((.((.((..((..((.((...))..)).)).))..))..))....)).
20,27,.....(((((.(.(.((.(.(((((((((....))))))))))))))))))).....
21,25,(((.....(((.....(((.....(((.....(((........))).))).))).))).)))
22,67,......(.........((((.....)))).........)...................... 
23,44,.....(((.(((((....)).)))(((.((....))))).)))....................
24,45,(((((((((....))))(((((....)))))(((((....)))))((((....))))))))). 
25,61,.....((.((.((...)).((...))...)))).((.((.((...)).((...))...)))).....
26,13,((((((((((((((((((((((((((...))))))....)))))))....))))))....)))))))
27,59,.....((((((.((((((((....))))))).)))((((((((((....)))))))))))))).....
28,18,((((((.....(((....(((...(((((.............)))))....)))..)))..)))))) 
29,72,..((((((((.......(.((((((....)))))).(((((((....))))))).).......))))))))..
30,75,......(((......((((..(....(((........)))....).....)))).......)))...........
31,52,.((......((......))......((......((......))......((......))......))......)).....
32,95,..(((((((((((((....)))))(((((....))))))))((((((((....)))))(((((....)))))))))))))..
33,43,.....(((((..((..((..(((..(((..((..((...)).)).))).))).)).)).))))).....................
34,71,....((....((....((....((..((..((...))..))....))......)).......)).........)).............
35,54,(((((((((....)))))(((((....)))))(((((....)))))(((((....)))))(((((....)))))(((((....)))))))))
36,34,.....((((.(((((....))))).(((....))).)).))....((((.(((....))).(((....))).))))....................
37,89,......((.((..((..(...(.((.((....))))..)...(.((..((....))..))..)...).))..)))).....................
38,87,....((((((((....((..(...................)..((...((....))...((....))........))......))))))))))....
